p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.53,0.43,12,0.08,30,0,0.0,0.0,0.0,0.0,6,0.2134,0.5,1.555,-0.0423,7,0.4664,0.5714,1.338,-0.0785,0.315205
0.53,0.43,9,0.08,30,0,0.0,0.0,0.0,0.0,6,0.2134,0.5,1.555,-0.0423,7,0.4664,0.5714,1.338,-0.0785,0.315205
0.55,0.47,12,0.07,30,4,0.0297,0.75,0.387,-0.0751,4,-0.0338,0.25,-1.222,-0.0455,12,0.7275,0.75,2.298,-0.0752,0.19949875000000003
0.55,0.47,12,0.08,30,4,0.0297,0.75,0.387,-0.0751,4,-0.0338,0.25,-1.222,-0.0455,12,0.7143,0.75,2.214,-0.0854,0.19586875000000004
0.52,0.47,9,0.08,30,4,-0.1531,0.5,-2.244,-0.1531,8,0.1144,0.5,0.943,-0.0597,14,1.1805,0.8571,2.905,-0.0785,0.19158975000000003
0.49,0.43,15,0.08,30,0,0.0,0.0,0.0,0.0,9,0.048,0.4444,0.517,-0.0632,11,0.6447,0.6364,1.685,-0.0547,0.18389250000000004
0.52,0.43,9,0.08,30,0,0.0,0.0,0.0,0.0,8,0.1501,0.375,1.048,-0.0597,8,0.587,0.625,1.606,-0.0785,0.18206375000000002
0.52,0.43,12,0.08,30,0,0.0,0.0,0.0,0.0,8,0.1501,0.375,1.048,-0.0597,8,0.587,0.625,1.606,-0.0785,0.18206375000000002
0.55,0.47,12,0.06,30,4,0.0214,0.75,0.374,-0.0611,4,-0.0338,0.25,-1.222,-0.0455,12,0.6466,0.75,2.271,-0.0651,0.17611000000000002
0.51,0.43,15,0.08,30,0,0.0,0.0,0.0,0.0,8,0.063,0.375,0.571,-0.0598,10,0.6059,0.6,1.61,-0.0547,0.175285
0.49,0.43,12,0.08,30,0,0.0,0.0,0.0,0.0,9,0.1241,0.4444,0.942,-0.0632,11,0.5442,0.5455,1.479,-0.0851,0.16671875000000003
0.52,0.47,12,0.08,30,4,-0.1366,0.5,-2.225,-0.1366,8,0.1144,0.5,0.943,-0.0597,14,0.9844,0.7857,2.672,-0.0785,0.16059450000000003
0.52,0.43,6,0.08,30,0,0.0,0.0,0.0,0.0,8,-0.0093,0.25,-0.002,-0.1332,9,0.5874,0.6667,1.583,-0.0785,0.16025625000000002
0.52,0.43,15,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0292,0.2857,0.319,-0.0995,8,0.5582,0.625,1.519,-0.0785,0.15752
0.51,0.43,6,0.08,30,0,0.0,0.0,0.0,0.0,9,0.0232,0.3333,0.261,-0.0868,11,0.5489,0.5455,1.333,-0.1337,0.1541375
