direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22
LONG,2025-01-24,2025-02-27,31.023,31.694,34.08,0.021642,0.01667158627923746,24,trail_stop,0.004970413720762542,False,0.021142
LONG,2025-03-03,2025-03-24,32.032,33.265,34.579,0.038493,0.03350933037821983,15,model_exit,0.004983669621780173,False,0.037993
LONG,2025-04-04,2025-04-07,29.116,28.328,30.46,-0.027071,-0.03856988790214958,1,trail_stop,0.011498887902149578,True,-0.027571
LONG,2025-04-24,2025-04-25,33.482,32.989,33.482,-0.014724,-0.01994265399132586,1,model_exit,0.005218653991325862,False,-0.015224
LONG,2025-05-29,2025-06-09,33.283,36.688,36.688,0.102304,0.0973991181982867,7,model_exit,0.004904881801713314,False,0.101804
LONG,2025-06-30,2025-07-11,35.852,38.676,38.93,0.078768,0.07388068035052625,9,model_exit,0.00488731964947375,False,0.078268
LONG,2025-07-15,2025-07-23,37.834,39.278,39.41,0.038167,0.03344128962938513,6,model_exit,0.004725710370614868,False,0.037667
LONG,2025-07-31,2025-08-19,36.552,37.261,38.62,0.019397,0.015069524297886758,13,model_exit,0.004327475702113243,False,0.018897
LONG,2025-08-21,2025-09-26,38.027,46.221,46.221,0.215478,0.20919993516675206,26,model_exit,0.00627806483324795,True,0.214978
LONG,2025-10-10,2025-10-21,46.938,47.45,53.34,0.010908,0.00211135124223045,7,trail_stop,0.00879664875776955,False,0.010408
LONG,2025-11-18,2025-11-21,50.45,48.127,51.75,-0.046036,-0.05326910538188456,3,trail_stop,0.007233105381884559,False,-0.046536
LONG,2026-03-13,2026-03-18,80.914,76.483,82.24,-0.054759,-0.06829455521129867,3,trail_stop,0.013535555211298669,False,-0.055259
LONG,2026-04-29,2026-05-07,71.569,79.701,82.175,0.113625,0.10505943009308175,6,model_exit,0.008565569906918265,False,0.113125
