direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22
LONG,2025-01-24,2025-02-27,31.023,31.801,34.08,0.025078,0.020107586279237456,24,model_exit,0.004970413720762542,False,0.024578
LONG,2025-03-03,2025-04-03,32.032,31.844,35.265,-0.005869,-0.012120915379549554,23,trail_stop,0.0062519153795495535,False,-0.006369
LONG,2025-04-04,2025-04-11,29.116,31.824,31.824,0.093007,0.0822668872837076,5,model_exit,0.010740112716292403,True,0.092507
LONG,2025-04-29,2025-05-01,33.275,32.189,33.275,-0.032637,-0.0377490343437012,2,model_exit,0.005112034343701199,False,-0.033137
LONG,2025-05-21,2025-05-22,33.463,33.047,33.575,-0.012432,-0.01762353483381273,1,model_exit,0.005191534833812728,False,-0.012932
LONG,2025-06-25,2025-08-06,36.085,37.766,39.41,0.046584,0.04054232377421825,30,max_hold,0.006041676225781752,True,0.046084
LONG,2025-08-21,2025-10-02,38.027,46.0,47.51,0.209667,0.20295529154274553,30,max_hold,0.0067117084572544715,True,0.209167
LONG,2025-11-18,2025-12-12,50.45,61.362,63.929,0.216293,0.2084739456224579,18,model_exit,0.007819054377542113,False,0.215793
LONG,2026-02-02,2026-02-03,76.778,81.139,88.195,0.056805,0.024151860319608767,1,trail_stop,0.032653139680391234,False,0.056305
LONG,2026-03-05,2026-03-09,81.687,79.589,86.51,-0.025681,-0.040914124340150924,2,trail_stop,0.015233124340150925,False,-0.026181
LONG,2026-03-27,2026-04-23,69.545,75.465,82.83,0.085125,0.07366894888641182,19,trail_stop,0.011456051113588196,False,0.084625
