direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22
LONG,2025-01-24,2025-01-29,31.023,31.238,31.238,0.00693,0.0022496315256728145,3,model_exit,0.004680368474327186,False,0.00643
LONG,2025-01-30,2025-01-31,32.364,32.128,32.76,-0.007292,-0.01258178936154002,1,model_exit,0.00528978936154002,False,-0.007792
LONG,2025-02-05,2025-02-06,32.857,32.518,32.857,-0.010317,-0.01735762427669087,1,model_exit,0.007040624276690871,True,-0.010817
LONG,2025-02-11,2025-02-12,32.231,32.695,32.755,0.014396,0.0075446643540351705,1,model_exit,0.00685133564596483,True,0.013896
LONG,2025-02-17,2025-02-18,32.801,33.317,33.36,0.015731,0.009905956919605734,1,model_exit,0.005825043080394264,False,0.015231
LONG,2025-02-21,2025-02-27,32.976,31.657,32.976,-0.04,-0.045265473394327266,4,trail_stop,0.005265473394327267,False,-0.0405
LONG,2025-03-03,2025-03-14,32.032,34.187,34.555,0.067276,0.06179446922640747,9,model_exit,0.005481530773592539,False,0.066776
LONG,2025-03-17,2025-03-18,34.074,34.579,34.579,0.014821,0.009909742344228131,1,model_exit,0.00491125765577187,False,0.014321
LONG,2025-03-21,2025-03-24,33.29,33.265,33.48,-0.000751,-0.005244160659987734,1,model_exit,0.004493160659987734,False,-0.001251
LONG,2025-04-04,2025-04-07,29.116,29.242,30.46,0.004314,-0.007184887902149578,1,trail_stop,0.011498887902149578,True,0.003814
LONG,2025-04-10,2025-04-11,30.671,31.824,31.824,0.037593,0.02708352043540451,1,model_exit,0.01050947956459549,True,0.037093
LONG,2025-04-23,2025-04-25,33.518,32.989,33.518,-0.015783,-0.023219105781192857,2,model_exit,0.0074361057811928605,True,-0.016283
LONG,2025-04-29,2025-05-01,33.275,31.944,33.275,-0.04,-0.0451120343437012,2,trail_stop,0.005112034343701199,False,-0.0405
LONG,2025-05-05,2025-05-12,32.205,32.388,33.19,0.005682,0.00024521289458949,5,model_exit,0.00543678710541051,False,0.005182
