feature,n_selected,frequency
gold_rvol_60,70,1.0
silver_rvol_60,70,1.0
platinum_rvol_60,70,1.0
palladium_vol_z,70,1.0
palladium_rvol_60,70,1.0
platinum_vol_z,70,1.0
corr_silver_gold_90,70,1.0
DTWEXBGS,69,0.9857142857142858
copper_rvol_60,68,0.9714285714285714
silver_rvol_20,68,0.9714285714285714
CPIAUCSL,67,0.9571428571428572
corr_silver_copper_90,66,0.9428571428571428
gold_rvol_20,66,0.9428571428571428
INDPRO,64,0.9142857142857143
silver_dist_ma200,64,0.9142857142857143
T10YIE,55,0.7857142857142857
ratio_gold_silver,54,0.7714285714285715
metals_composite,53,0.7571428571428571
ratio_silver_palladium,52,0.7428571428571429
platinum_rvol_20,48,0.6857142857142857
DCOILWTICO,47,0.6714285714285714
ratio_gold_silver_z,46,0.6571428571428571
USDRUB,46,0.6571428571428571
silver_vol_z,42,0.6
palladium_atr_pct,37,0.5285714285714286
palladium_rvol_20,36,0.5142857142857142
ratio_platinum_palladium_z,36,0.5142857142857142
ratio_gold_platinum,34,0.4857142857142857
DGS10,34,0.4857142857142857
silver_pos_252,32,0.45714285714285713
gold_dist_ma200,30,0.42857142857142855
silver_atr_14,30,0.42857142857142855
copper_dist_ma200,29,0.4142857142857143
silver_atr_pct,29,0.4142857142857143
ratio_platinum_palladium,25,0.35714285714285715
ratio_silver_copper,21,0.3
platinum_dist_ma200,20,0.2857142857142857
platinum_atr_pct,20,0.2857142857142857
platinum_ret_20,17,0.24285714285714285
copper_rvol_20,16,0.22857142857142856
DFII10,14,0.2
ratio_silver_copper_z,14,0.2
silver_dist_ma50,14,0.2
gold_adx_14,12,0.17142857142857143
gold_atr_pct,12,0.17142857142857143
palladium_pos_252,12,0.17142857142857143
INDPRO_age_days,10,0.14285714285714285
platinum_adx_14,10,0.14285714285714285
gold_dist_ma50,10,0.14285714285714285
copper_atr_pct,8,0.11428571428571428
CPIAUCSL_age_days,6,0.08571428571428572
metals_composite_ret_20,6,0.08571428571428572
ratio_gold_platinum_z,6,0.08571428571428572
copper_pos_252,6,0.08571428571428572
platinum_dist_ma50,6,0.08571428571428572
gold_ret_5,6,0.08571428571428572
platinum_pos_252,6,0.08571428571428572
gold_vol_z,5,0.07142857142857142
palladium_dist_ma200,5,0.07142857142857142
platinum_atr_14,4,0.05714285714285714
gold_pos_252,3,0.04285714285714286
copper_adx_14,3,0.04285714285714286
palladium_ret_5,2,0.02857142857142857
palladium_adx_14,2,0.02857142857142857
VIXCLS,1,0.014285714285714285
palladium_rsi_14,1,0.014285714285714285
silver_ret_20,1,0.014285714285714285
gold_atr_14,1,0.014285714285714285
palladium_dist_ma50,1,0.014285714285714285
gold_ret_20,1,0.014285714285714285
DGS10_age_days,1,0.014285714285714285
platinum_logret,0,0.0
platinum_ret_1,0,0.0
gold_rsi_14,0,0.0
silver_rsi_14,0,0.0
silver_adx_14,0,0.0
gold_logret,0,0.0
gold_ret_1,0,0.0
silver_ret_5,0,0.0
silver_ret_1,0,0.0
silver_logret,0,0.0
platinum_ret_5,0,0.0
palladium_atr_14,0,0.0
palladium_ret_20,0,0.0
palladium_ret_1,0,0.0
platinum_rsi_14,0,0.0
copper_vol_z,0,0.0
copper_rsi_14,0,0.0
copper_atr_14,0,0.0
copper_ret_1,0,0.0
copper_ret_5,0,0.0
copper_ret_20,0,0.0
copper_logret,0,0.0
copper_dist_ma50,0,0.0
palladium_logret,0,0.0
ratio_silver_palladium_z,0,0.0
DFII10_age_days,0,0.0
T10YIE_age_days,0,0.0
USDRUB_age_days,0,0.0
DTWEXBGS_age_days,0,0.0
VIXCLS_age_days,0,0.0
DCOILWTICO_age_days,0,0.0
