feature,n_selected,frequency
silver_rvol_60,97,1.0
gold_rvol_60,97,1.0
platinum_rvol_60,97,1.0
palladium_rvol_60,97,1.0
palladium_vol_z,97,1.0
target_close,97,1.0
platinum_vol_z,96,0.9896907216494846
target_high,96,0.9896907216494846
silver_rvol_20,95,0.979381443298969
CPIAUCSL,93,0.9587628865979382
INDPRO,91,0.9381443298969072
copper_rvol_60,89,0.9175257731958762
gold_rvol_20,89,0.9175257731958762
corr_silver_gold_90,89,0.9175257731958762
corr_silver_copper_90,76,0.7835051546391752
ratio_gold_silver_z,71,0.7319587628865979
target_low,68,0.7010309278350515
DTWEXBGS,67,0.6907216494845361
palladium_rvol_20,61,0.6288659793814433
silver_dist_ma200,59,0.6082474226804123
ratio_silver_palladium,59,0.6082474226804123
metals_composite,58,0.5979381443298969
silver_atr_14,58,0.5979381443298969
ratio_gold_silver,56,0.5773195876288659
USDRUB,55,0.5670103092783505
silver_pos_252,55,0.5670103092783505
platinum_rvol_20,55,0.5670103092783505
gold_dist_ma200,52,0.5360824742268041
ratio_platinum_palladium_z,52,0.5360824742268041
ratio_silver_copper,45,0.4639175257731959
ratio_gold_platinum,43,0.44329896907216493
ratio_gold_platinum_z,42,0.4329896907216495
T10YIE,41,0.422680412371134
DCOILWTICO,41,0.422680412371134
gold_dist_ma50,39,0.4020618556701031
copper_rvol_20,36,0.3711340206185567
copper_dist_ma200,34,0.35051546391752575
DGS10,30,0.30927835051546393
silver_vol_z,24,0.24742268041237114
ratio_platinum_palladium,23,0.23711340206185566
platinum_dist_ma200,20,0.20618556701030927
silver_dist_ma50,20,0.20618556701030927
platinum_dist_ma50,19,0.1958762886597938
DFII10,18,0.18556701030927836
platinum_pos_252,15,0.15463917525773196
copper_ret_5,15,0.15463917525773196
gold_atr_14,13,0.13402061855670103
copper_atr_pct,13,0.13402061855670103
palladium_pos_252,12,0.12371134020618557
gold_pos_252,10,0.10309278350515463
platinum_ret_20,10,0.10309278350515463
gold_adx_14,10,0.10309278350515463
ratio_silver_palladium_z,9,0.09278350515463918
palladium_atr_14,9,0.09278350515463918
ratio_silver_copper_z,9,0.09278350515463918
copper_atr_14,8,0.08247422680412371
palladium_atr_pct,8,0.08247422680412371
platinum_adx_14,8,0.08247422680412371
silver_rsi_14,7,0.07216494845360824
silver_atr_pct,6,0.061855670103092786
gold_atr_pct,6,0.061855670103092786
silver_adx_14,6,0.061855670103092786
INDPRO_age_days,5,0.05154639175257732
copper_rsi_14,4,0.041237113402061855
gold_ret_20,4,0.041237113402061855
platinum_atr_pct,4,0.041237113402061855
platinum_rsi_14,3,0.030927835051546393
copper_ret_20,3,0.030927835051546393
copper_vol_z,2,0.020618556701030927
gold_vol_z,2,0.020618556701030927
palladium_ret_5,2,0.020618556701030927
USDRUB_age_days,2,0.020618556701030927
platinum_atr_14,2,0.020618556701030927
CPIAUCSL_age_days,1,0.010309278350515464
VIXCLS,1,0.010309278350515464
platinum_ret_5,1,0.010309278350515464
copper_adx_14,1,0.010309278350515464
palladium_adx_14,1,0.010309278350515464
T10YIE_age_days,1,0.010309278350515464
platinum_ret_1,0,0.0
platinum_logret,0,0.0
silver_ret_1,0,0.0
silver_logret,0,0.0
gold_logret,0,0.0
gold_rsi_14,0,0.0
gold_ret_5,0,0.0
gold_ret_1,0,0.0
silver_ret_5,0,0.0
silver_ret_20,0,0.0
copper_pos_252,0,0.0
copper_logret,0,0.0
copper_dist_ma50,0,0.0
palladium_ret_20,0,0.0
palladium_ret_1,0,0.0
palladium_dist_ma50,0,0.0
palladium_rsi_14,0,0.0
copper_ret_1,0,0.0
palladium_logret,0,0.0
palladium_dist_ma200,0,0.0
metals_composite_ret_20,0,0.0
DGS10_age_days,0,0.0
DFII10_age_days,0,0.0
DTWEXBGS_age_days,0,0.0
VIXCLS_age_days,0,0.0
DCOILWTICO_age_days,0,0.0
