direction,signal_date,entry_date,exit_date,entry_price,exit_price,peak_price,trough_price,trail_stop,gross_return,net_return,hold_days,exit_reason,tb_label_bin,tb_label_down
LONG,2025-01-02,2025-01-02,2025-02-28,29.622,31.219,34.08,,31.354,0.053913,0.053413,41,trail_stop,1.0,
LONG,2025-01-14,2025-01-14,2025-02-28,30.132,31.219,34.08,,31.354,0.036075,0.035575,33,trail_stop,1.0,
LONG,2025-01-24,2025-01-24,2025-02-28,31.023,31.219,34.08,,31.354,0.006318,0.005818,25,trail_stop,1.0,
LONG,2025-02-05,2025-02-05,2025-02-28,32.857,31.219,34.08,,31.354,-0.049852,-0.050352,17,trail_stop,0.0,
LONG,2025-02-17,2025-02-17,2025-04-03,32.801,31.844,35.265,,32.444,-0.029176,-0.029676,33,trail_stop,0.0,
LONG,2025-03-03,2025-03-03,2025-04-03,32.032,31.844,35.265,,32.444,-0.005869,-0.006369,23,trail_stop,1.0,
LONG,2025-03-13,2025-03-13,2025-04-03,34.051,31.844,35.265,,32.444,-0.064815,-0.065315,15,trail_stop,0.0,
LONG,2025-03-25,2025-03-25,2025-04-03,34.002,31.844,35.265,,32.444,-0.063467,-0.063967,7,trail_stop,0.0,
LONG,2025-04-04,2025-04-04,2025-06-09,29.116,36.688,36.688,,33.753,0.260063,0.259563,45,max_hold,1.0,
SHORT,2025-04-11,2025-04-11,2025-06-02,31.824,34.563,,31.685,34.22,-0.079247,-0.079747,35,trail_stop,,0.0
LONG,2025-04-17,2025-04-17,2025-06-20,32.42,35.976,37.255,,34.275,0.109685,0.109185,45,max_hold,0.0,
LONG,2025-04-30,2025-04-30,2025-07-02,32.531,36.426,37.255,,34.275,0.119732,0.119232,45,max_hold,0.0,
LONG,2025-05-19,2025-05-19,2025-07-21,32.313,39.101,39.14,,36.009,0.21007,0.20957,45,max_hold,1.0,
LONG,2025-05-29,2025-05-29,2025-07-31,33.283,36.552,39.41,,36.257,0.098218,0.097718,45,max_hold,1.0,
LONG,2025-06-10,2025-06-10,2025-08-12,36.542,37.899,39.41,,36.257,0.037135,0.036635,45,max_hold,0.0,
LONG,2025-06-20,2025-06-20,2025-08-22,35.976,39.003,39.41,,36.257,0.084139,0.083639,45,max_hold,1.0,
LONG,2025-07-02,2025-07-02,2025-09-03,36.426,41.542,41.715,,38.378,0.140449,0.139949,45,max_hold,1.0,
LONG,2025-07-14,2025-07-14,2025-09-15,38.462,42.517,42.58,,39.174,0.105429,0.104929,45,max_hold,0.0,
LONG,2025-07-24,2025-07-24,2025-09-25,39.021,44.697,45.0,,41.4,0.14546,0.14496,45,max_hold,0.0,
LONG,2025-08-05,2025-08-05,2025-10-07,37.687,47.179,48.082,,44.235,0.251864,0.251364,45,max_hold,0.0,
LONG,2025-08-15,2025-08-15,2025-10-17,37.894,49.864,53.34,,49.073,0.315881,0.315381,45,max_hold,1.0,
LONG,2025-08-27,2025-08-27,2025-10-21,38.689,47.45,53.34,,49.073,0.226447,0.225947,39,trail_stop,1.0,
LONG,2025-09-08,2025-09-08,2025-10-21,41.426,47.45,53.34,,49.073,0.145416,0.144916,31,trail_stop,1.0,
LONG,2025-09-18,2025-09-18,2025-10-21,41.707,47.45,53.34,,49.073,0.137699,0.137199,23,trail_stop,1.0,
LONG,2025-09-30,2025-09-30,2025-10-21,46.253,47.45,53.34,,49.073,0.025879,0.025379,15,trail_stop,1.0,
LONG,2025-10-10,2025-10-10,2025-10-21,46.938,47.45,53.34,,49.073,0.010908,0.010408,7,trail_stop,1.0,
LONG,2025-10-22,2025-10-22,2025-11-17,47.461,49.864,54.2,,49.864,0.050631,0.050131,18,trail_stop,1.0,
LONG,2025-11-03,2025-11-03,2025-11-17,47.888,49.864,54.2,,49.864,0.041263,0.040763,10,trail_stop,1.0,
LONG,2025-11-13,2025-11-13,2025-11-21,53.074,48.852,53.1,,48.852,-0.079549,-0.080049,6,trail_stop,0.0,
LONG,2025-11-25,2025-11-25,2025-12-29,50.934,69.856,79.7,,73.324,0.3715,0.371,23,trail_stop,1.0,
LONG,2025-12-31,2025-12-31,2026-01-08,70.134,74.428,80.9,,74.428,0.061226,0.060726,5,trail_stop,1.0,
LONG,2026-01-14,2026-01-14,2026-01-26,90.869,107.819,117.195,,107.819,0.186537,0.186037,8,trail_stop,0.0,
LONG,2026-01-26,2026-01-26,2026-01-27,115.08,105.523,115.08,,105.874,-0.083047,-0.083547,1,trail_stop,0.0,
LONG,2026-02-05,2026-02-05,2026-02-06,76.529,71.134,77.32,,71.134,-0.070491,-0.070991,1,trail_stop,0.0,
SHORT,2026-02-10,2026-02-10,2026-02-12,80.218,81.59,,75.546,81.59,-0.016812,-0.017312,2,trail_stop,,0.0
LONG,2026-02-17,2026-02-17,2026-03-02,73.447,88.191,95.86,,88.191,0.200746,0.200246,9,trail_stop,1.0,
LONG,2026-02-27,2026-02-27,2026-03-02,92.682,88.191,95.86,,88.191,-0.048454,-0.048954,1,trail_stop,0.0,
LONG,2026-03-12,2026-03-12,2026-03-18,84.67,77.238,84.67,,77.896,-0.087776,-0.088276,4,trail_stop,0.0,
LONG,2026-03-24,2026-03-24,2026-03-26,69.274,67.316,73.17,,67.316,-0.028259,-0.028759,2,trail_stop,1.0,
LONG,2026-04-03,2026-04-03,2026-04-23,72.735,75.465,82.83,,76.204,0.037533,0.037033,14,trail_stop,1.0,
SHORT,2026-04-10,2026-04-10,2026-04-14,76.324,79.391,,72.795,78.619,-0.038632,-0.039132,2,trail_stop,,1.0
LONG,2026-04-15,2026-04-15,2026-04-23,79.491,75.465,82.83,,76.204,-0.050647,-0.051147,6,trail_stop,1.0,
LONG,2026-04-27,2026-04-27,2026-05-12,75.003,85.13,86.91,,79.957,0.135021,0.134521,11,max_hold,0.0,
SHORT,2026-05-01,2026-05-01,2026-05-07,75.951,79.701,,72.5,78.3,-0.047051,-0.047551,4,trail_stop,,1.0
LONG,2026-05-08,2026-05-08,2026-05-12,80.395,85.13,86.91,,79.957,0.058897,0.058397,2,max_hold,1.0,
