feature,importance
gold_silver_ratio,0.05160806174957113
cot_index_52w,0.03681389365351624
silver_dist_ma60,0.01259801519235475
oil_ret_10d,0.011792452830188649
silver_macd_hist,0.008518132810585565
oil_ret_5d,0.006802866944376295
tip_zscore_20d,0.00500490075961767
gold_rsi_14,0.004300416564567489
cot_change_4w,0.003611247243322635
net_comm,0.002995589316344005
macro_score,0.002288042146532643
open_interest,0.002116515559911758
silver_ret_10d,0.002088948787061962
tip_ret_5d,0.0018990443518744793
silver_rsi_14,0.0018561627052192775
silver_zscore_60d,0.0016172506738543536
us10y_yf,0.001494731683410877
net_spec,0.0013905905415339092
dxy_ret_10d,0.000845381034060222
silver_ret_5d,0.0007657436902719806
silver_zscore_20d,0.0007473658417055052
tip_above_ma50,0.0007044841950501924
eurusd_ret_5d,0.0005880911541288669
vix_zscore_20d,0.0005482724822346574
gold_ret_3d,0.0005390835579514475
vix_ret_1d,0.0003706199460916104
gold_silver_ratio_z20,0.0002879196275422435
rinf_zscore_20d,5.81965204606627e-05
cot_extreme_bear,0.0
hyg_above_ma50,0.0
silver_macd_cross,0.0
cot_extreme_bull,0.0
silver_ret_2d,-0.0002542269051702961
gold_ret_1d,-0.00034917912276400954
gold_ret_20d,-0.0004288164665523286
net_spec_norm,-0.00046557216368541264
silver_ret_3d,-0.0004747610879686559
dxy_zscore_20d,-0.0005880911541289557
gold_silver_ratio_z60,-0.0007504288164666084
silver_dist_high_60d,-0.000872947806910096
gold_ret_2d,-0.0009250183778485965
vix_ret_10d,-0.0009709629992648905
hyg_ret_5d,-0.0009985297721147091
silver_ret_20d,-0.0010475373682920952
silver_realized_vol_20d,-0.0014824797843666416
gold_ret_5d,-0.0017367066895369154
rinf_ret_5d,-0.0018194070080862935
silver_dist_high_20d,-0.001825532957608489
vix_ret_5d,-0.001853099730458263
vix_level,-0.0019725557461406805
tip_ret_20d,-0.002327860818426908
sp500_ret_5d,-0.002563709875030673
gold_zscore_20d,-0.0027199215878461968
silver_dist_ma20,-0.0029251408968390515
us10y_chg_20d,-0.003121171281548685
copper_ret_1d,-0.0033417054643470334
silver_ma20_slope_5d,-0.003347831413869218
oil_ret_1d,-0.00346728742955158
rinf_ret_20d,-0.004331046312178455
eurusd_ret_1d,-0.00442599852977219
dxy_ret_1d,-0.004444376378338677
dxy_ret_5d,-0.004539328595932412
copper_ret_10d,-0.004643469737809403
silver_atr_14,-0.006122886547414852
hyg_ret_20d,-0.007201053663317858
sp500_ret_1d,-0.007271502082822878
us10y_chg_5d,-0.0075196030384710125
cot_change_norm,-0.009498284734133843
dxy_ret_20d,-0.009541166380789102
silver_ret_1d,-0.009798456260720446
silver_vol_ratio_5_20,-0.009881156579269867
copper_ret_20d,-0.010028179367802037
silver_vol_percentile_252d,-0.010028179367802115
sp500_ret_20d,-0.010401862288654817
copper_ret_5d,-0.01129625091889247
oil_ret_20d,-0.019887895123744236
silver_realized_vol_60d,-0.031009556481254662
silver_vol_ratio_20_60,-0.05460058809115418
