direction,signal_date,entry_date,exit_date,entry_price,exit_price,peak_price,trail_stop,atr_at_entry,atr_k,trail_pct_eq,gross_return,net_return,hold_days,exit_reason,p_signal,tb_label_bin,trough_price,tb_label_down,kelly_frac,kelly_net_return
LONG,2025-01-02,2025-01-02,2025-02-13,29.622,32.65,32.888,31.106,0.509,3.5,0.0601,0.102221,0.101721,30,max_hold,0.5618,1.0,,,0.9888252256300789,0.10058429077631727
LONG,2025-01-13,2025-01-13,2025-02-24,30.091,32.575,34.08,32.098,0.5661,3.5,0.0659,0.08255,0.08205,30,max_hold,0.5618,1.0,,,0.9888252256300789,0.08113310976294798
LONG,2025-01-24,2025-01-24,2025-02-25,31.023,31.801,34.08,32.24,0.5258,3.5,0.0593,0.025078,0.024578,22,trail_stop,0.4733,1.0,,,0.8330562109126315,0.020474855551810656
LONG,2025-02-04,2025-02-04,2025-02-27,32.888,31.672,34.08,31.672,0.6881,3.5,0.0732,-0.036987,-0.037487,17,trail_stop,0.6673,0.0,,,1.1745159719881662,-0.044029080241920385
LONG,2025-02-13,2025-02-13,2025-02-25,32.65,31.801,34.08,32.101,0.5654,3.5,0.0606,-0.026003,-0.026503,8,trail_stop,0.7128,1.0,,,1.2546006066734074,-0.03325067987866532
LONG,2025-02-24,2025-02-24,2025-04-03,32.575,31.844,35.265,33.087,0.6222,3.5,0.0669,-0.022441,-0.022941,28,trail_stop,0.5873,0.0,,,1.0337078230910386,-0.023714291169531516
LONG,2025-03-05,2025-03-05,2025-04-03,32.858,31.844,35.265,32.802,0.7038,3.5,0.075,-0.03086,-0.03136,21,trail_stop,0.6507,1.0,,,1.145298281092012,-0.035916554095045496
LONG,2025-03-14,2025-03-14,2025-04-03,34.187,31.844,35.265,32.812,0.701,3.5,0.0718,-0.068535,-0.069035,14,trail_stop,0.636,0.0,,,1.119424783732165,-0.07727948994495
LONG,2025-03-25,2025-03-25,2025-04-03,34.002,31.844,35.265,33.313,0.5576,3.5,0.0574,-0.063467,-0.063967,7,trail_stop,0.6122,0.0,,,1.0775343594352693,-0.06892664036999586
LONG,2025-04-03,2025-04-03,2025-04-07,31.844,28.7,31.844,28.7,0.8982,3.5,0.0987,-0.098726,-0.099226,2,trail_stop,0.5104,0.0,,,0.8983559899636744,-0.08914027146013555
SHORT,2025-04-11,2025-04-11,2025-05-26,31.824,33.442,,35.091,1.1352,3.0,0.107,-0.048382,-0.048882,30,max_hold,0.4364,,31.685,0.0,0.7681084522338313,-0.03754667736209414
LONG,2025-04-14,2025-04-14,2025-05-27,32.092,33.146,33.575,29.995,1.0228,3.5,0.1115,0.032843,0.032343,30,max_hold,0.5567,1.0,,,0.979848706137887,0.03169124670261768
LONG,2025-04-24,2025-04-24,2025-06-05,33.482,35.689,36.025,33.675,0.6714,3.5,0.0702,0.065916,0.065416,30,max_hold,0.5932,0.0,,,1.0440924240722016,0.06830035001310714
LONG,2025-05-05,2025-05-05,2025-06-16,32.205,36.379,36.688,34.32,0.6766,3.5,0.0735,0.129607,0.129107,30,max_hold,0.5853,1.0,,,1.0301876193686104,0.13300443297382317
LONG,2025-05-19,2025-05-19,2025-06-30,32.313,35.852,37.255,35.133,0.6062,3.5,0.0657,0.109523,0.109023,30,max_hold,0.461,1.0,,,0.8114069580196981,0.08846202078418154
LONG,2025-05-28,2025-05-28,2025-06-30,33.0,35.359,37.255,35.359,0.5417,3.5,0.0575,0.071482,0.070982,23,trail_stop,0.4933,1.0,,,0.8682582481369134,0.06163070696925439
LONG,2025-06-06,2025-06-06,2025-07-18,36.025,38.223,39.14,36.635,0.7158,3.5,0.0695,0.061013,0.060513,30,max_hold,0.6106,0.0,,,1.074718196457327,0.06503442222222222
LONG,2025-06-17,2025-06-17,2025-06-30,37.09,35.312,37.175,35.312,0.5324,3.5,0.0502,-0.047947,-0.048447,9,trail_stop,0.5373,0.0,,,0.9457027300303336,-0.045816460161779565
LONG,2025-06-26,2025-06-26,2025-07-30,36.586,37.566,39.41,37.666,0.4981,3.5,0.0477,0.026786,0.026286,24,trail_stop,0.6424,1.0,,,1.130689435643935,0.029721302505336476
LONG,2025-07-07,2025-07-07,2025-07-30,36.615,37.401,39.41,37.401,0.574,3.5,0.0549,0.021466,0.020966,17,trail_stop,0.6517,1.0,,,1.1470583829532262,0.024049226056997337
LONG,2025-07-16,2025-07-16,2025-07-30,37.853,36.973,39.41,36.973,0.6963,3.5,0.0644,-0.023245,-0.023745,10,trail_stop,0.654,1.0,,,1.1511066172340187,-0.027333026626221772
LONG,2025-07-25,2025-07-25,2025-09-05,38.167,41.074,41.715,39.572,0.6122,3.5,0.0561,0.076165,0.075665,30,max_hold,0.6411,0.0,,,1.1284013032243567,0.08538048460847095
LONG,2025-08-05,2025-08-05,2025-09-16,37.687,42.471,42.58,40.468,0.6033,3.5,0.056,0.12694,0.12644,30,max_hold,0.5574,0.0,,,0.981080777440737,0.12404785349960677
