variant,split,n_total,n_long,n_short,total_net,long_net,short_net,win_rate,buy_and_hold,vs_bnh,kelly_weighted
v22_base,valid,34,24,10,-37.88%,-12.18%,-25.71%,0.3529,-0.04%,-37.85%,False
v22_base,test,34,32,2,94.69%,109.38%,-14.69%,0.5294,21.33%,73.36%,False
v22_base,forward,45,41,4,279.85%,298.22%,-18.37%,0.6444,187.39%,92.46%,False
v22_atr,valid,34,24,10,1.80%,5.74%,-3.93%,0.3235,-0.04%,1.84%,False
v22_atr,test,34,32,2,18.42%,32.43%,-14.01%,0.4412,21.33%,-2.90%,False
v22_atr,forward,45,41,4,145.86%,146.46%,-0.60%,0.6222,187.39%,-41.52%,False
v22_kelly,valid,34,24,10,0.01%,0.87%,-0.86%,0.3235,-0.04%,0.05%,True
v22_kelly,test,34,32,2,25.44%,38.41%,-12.97%,0.4412,21.33%,4.11%,True
v22_kelly,forward,45,41,4,168.99%,169.43%,-0.44%,0.6222,187.39%,-18.39%,True
v22_mh,valid,37,27,10,-3.08%,-2.19%,-0.89%,0.3243,-0.04%,-3.04%,True
v22_mh,test,36,34,2,-14.77%,-1.12%,-13.66%,0.3611,21.33%,-36.10%,True
v22_mh,forward,47,43,4,196.93%,197.39%,-0.46%,0.617,187.39%,9.54%,True
v22_wf,valid,34,24,10,0.01%,0.87%,-0.86%,0.3235,-0.04%,0.05%,True
v22_wf,test,35,33,2,37.68%,30.30%,7.39%,0.4571,21.33%,16.36%,True
v22_wf,forward,46,44,2,189.55%,196.56%,-7.01%,0.6304,187.39%,2.16%,True
v22_all,valid,37,27,10,-3.08%,-2.19%,-0.89%,0.3243,-0.04%,-3.04%,True
v22_all,test,37,35,2,11.23%,3.46%,7.77%,0.4054,21.33%,-10.10%,True
v22_all,forward,53,51,2,258.45%,265.86%,-7.41%,0.6792,187.39%,71.06%,True
