split,label,n_trades,win_rate,total_net_return,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,time_underwater,ulcer_index
valid,v22_base,34,0.3529,-0.3788,-0.3823,-0.5957,-0.911,-0.642,0.8824,0.3364
test,v22_base,34,0.5294,0.9469,0.9478,-0.1362,1.788,6.96,0.6471,0.0674
forward,v22_base,45,0.6444,2.7985,1.6772,-0.2698,3.098,6.216,0.4444,0.061
valid,v22_atr,34,0.3235,0.018,0.0183,-0.3216,0.047,0.057,0.8824,0.1578
test,v22_atr,34,0.4412,0.1842,0.1844,-0.299,0.461,0.617,0.6765,0.1616
forward,v22_atr,45,0.6222,1.4586,0.9422,-0.318,1.428,2.963,0.5333,0.1415
valid,v22_kelly,34,0.3235,0.0001,0.0001,-0.3254,0.0,0.0,0.8824,0.1603
test,v22_kelly,34,0.4412,0.2544,0.2546,-0.2667,0.609,0.955,0.6765,0.1425
forward,v22_kelly,45,0.6222,1.6899,1.0754,-0.2538,1.794,4.237,0.5333,0.1118
valid,v22_mh,37,0.3243,-0.0308,-0.0311,-0.3455,-0.077,-0.09,0.8919,0.1795
test,v22_mh,36,0.3611,-0.1477,-0.1478,-0.402,-0.366,-0.368,0.8333,0.2144
forward,v22_mh,47,0.617,1.9693,1.2323,-0.3409,2.186,3.615,0.6383,0.1194
valid,v22_wf,34,0.3235,0.0001,0.0001,-0.3254,0.0,0.0,0.8824,0.1603
test,v22_wf,35,0.4571,0.3768,0.3771,-0.1926,0.943,1.958,0.7143,0.0892
forward,v22_wf,46,0.6304,1.8955,1.1913,-0.2636,1.96,4.518,0.5435,0.1041
valid,v22_all,37,0.3243,-0.0308,-0.0311,-0.3455,-0.077,-0.09,0.8919,0.1795
test,v22_all,37,0.4054,0.1123,0.1124,-0.2972,0.276,0.378,0.8108,0.1811
forward,v22_all,53,0.6792,2.5845,1.5651,-0.2839,2.793,5.513,0.4906,0.0937
