feature,n_train,n_recent,ks_pvalue,drift,mean_train,mean_recent
silver_open,2608,351,0.0,True,19.206142,50.992103
silver_high,2608,351,0.0,True,19.322665,51.808316
silver_low,2608,351,0.0,True,19.077851,50.106308
silver_close,2608,351,0.0,True,19.194936,50.928872
silver_volume,2608,351,0.0,True,1922.713574,1253.868946
gold_open,2608,351,0.0,True,1437.210046,3805.791176
gold_high,2608,351,0.0,True,1444.274962,3835.505985
gold_low,2608,351,0.0,True,1429.970016,3774.980914
gold_close,2608,351,0.0,True,1437.120974,3806.379766
gold_volume,2608,351,0.0,True,5675.070552,4042.937322
dxy_open,2608,351,0.0,True,93.68648,100.209231
dxy_high,2608,351,0.0,True,94.002918,100.512251
dxy_low,2608,351,0.0,True,93.407757,99.878746
dxy_close,2608,351,0.0,True,93.712918,100.189858
vix_open,2608,351,0.0,True,17.981967,19.478746
vix_high,2608,351,0.0,True,19.020928,20.716325
copper_volume,2608,351,0.0,True,1712.11273,1508.031339
vix_low,2608,351,0.0,True,17.010498,18.31151
vix_close,2608,351,0.0,True,17.840138,19.22151
vix_volume,2608,351,0.0,True,0.0,0.0
copper_open,2608,351,0.0,True,3.065896,5.084067
copper_high,2608,351,0.0,True,3.085806,5.12886
copper_low,2608,351,0.0,True,3.045206,5.044161
copper_close,2608,351,0.0,True,3.066618,5.092879
oil_close,2608,351,0.0,True,65.751331,69.073219
oil_open,2608,351,0.0,True,65.774463,69.087892
oil_high,2608,351,0.0,True,66.786181,70.52718
oil_low,2608,351,0.0,True,64.679939,67.598889
sp500_open,2608,351,0.0,True,2742.29358,6392.362907
oil_volume,2608,351,0.0,True,446720.436733,293546.373219
sp500_high,2608,351,0.0,True,2756.946979,6426.263288
sp500_low,2608,351,0.0,True,2726.341772,6356.240909
silver_zscore_20d,2589,351,0.0,True,-0.063584,0.657276
sp500_close,2608,351,0.0,True,2742.687293,6394.885776
sp500_volume,2608,351,0.0,True,3864965893.404908,5223993304.843305
eurusd_open,2608,351,0.0,True,1.168396,1.140874
eurusd_high,2608,351,0.0,True,1.172077,1.144505
eurusd_low,2608,351,0.0,True,1.164666,1.13767
eurusd_close,2608,351,0.0,True,1.168417,1.140868
eurusd_volume,2608,351,0.0,True,0.0,0.0
silver_atr_14d,2602,351,0.0,True,0.341824,2.121306
silver_ret_1d,2607,351,0.0,True,5.9e-05,0.003711
silver_ret_2d,2606,351,0.0,True,0.000111,0.007295
silver_ret_3d,2605,351,0.0,True,0.000177,0.010581
silver_ret_5d,2603,351,0.0,True,0.00031,0.017077
silver_ret_10d,2598,351,0.0,True,0.000516,0.03174
silver_ret_20d,2588,351,0.0,True,0.000755,0.06207
silver_rsi_14,2607,351,0.0,True,48.862529,57.623293
silver_atr_14,2595,351,0.0,True,0.017286,0.033782
silver_zscore_60d,2549,351,0.0,True,-0.082025,0.987854
silver_dist_ma20,2589,351,0.0,True,-0.000614,0.027023
silver_dist_ma60,2549,351,0.0,True,-0.001994,0.082039
silver_ma20_slope_5d,2584,351,0.0,True,-0.000403,0.013567
silver_dist_high_60d,2549,351,0.0,True,-0.086295,-0.088684
silver_macd_hist,2608,351,0.0,True,0.001006,0.00649
silver_realized_vol_20d,2588,351,0.0,True,0.258871,0.447808
gold_ret_1d,2607,351,0.0,True,7.6e-05,0.00177
silver_realized_vol_60d,2548,351,0.0,True,0.265332,0.453476
silver_vol_percentile_252d,2337,351,0.0,True,0.485368,0.522306
silver_vol_ratio_20_60,2548,351,0.0,True,0.981644,1.002253
gold_ret_20d,2588,351,0.0,True,0.001374,0.034657
gold_ret_5d,2603,351,0.0,True,0.000389,0.008868
gold_ret_3d,2605,351,0.0,True,0.00023,0.005362
gold_ret_2d,2606,351,0.0,True,0.000151,0.003584
tb_label_bin,2608,349,0.0,True,0.427914,0.661891
net_spec,2600,351,0.0,True,23160.443846,26747.188034
net_comm,2600,351,0.0,True,-38832.266923,-26057.076923
open_interest,2600,351,0.0,True,208128.726154,184763.424501
gold_rsi_14,2607,351,0.0,True,50.04921,59.18326
gold_zscore_20d,2589,351,0.0,True,0.043459,0.673855
gold_silver_ratio,2608,351,0.0,True,75.939794,80.421766
gold_silver_ratio_z20,2589,351,0.0,True,0.178244,-0.362348
gold_silver_ratio_z60,2549,351,0.0,True,0.295591,-0.372109
dxy_ret_20d,2588,351,0.0,True,0.002229,-0.00483
dxy_zscore_20d,2589,351,0.0,True,0.120983,-0.240426
vix_level,2608,351,0.0,True,17.840138,19.22151
copper_ret_5d,2603,351,0.0,True,0.000475,0.007525
copper_ret_10d,2598,351,0.0,True,0.00095,0.013882
copper_ret_20d,2588,351,0.0,True,0.001923,0.025787
tb_label_bin_5d,2608,349,0.0,True,0.335123,0.532951
hyg_above_ma50,2608,351,0.0,True,0.654141,0.826211
tb_hit_day,2608,349,0.0,True,7.366564,5.131805
tb_hit_return,2608,349,0.0,True,-0.000166,0.020176
tb_barrier,2608,351,0.0,True,0.035873,0.039525
cot_index_52w,2475,351,0.0,True,48.352636,43.05394
net_spec_norm,2600,351,0.0,True,11.017243,13.882196
cot_change_4w,2580,351,0.0,True,-32.405426,-766.783476
cot_change_norm,2580,351,0.0,True,-0.000478,-0.019217
cot_extreme_bear,2600,351,0.0,True,0.244231,0.424501
rinf_ret_20d,2588,351,0.0,True,5.2e-05,0.002044
us10y_yf,2608,351,0.0,True,2.149245,4.27649
eurusd_ret_20d,2588,351,0.0,True,-0.001529,0.006718
rinf_ret_5d,2603,351,0.0,True,5.8e-05,0.000465
tb_label_bin_15d,2608,349,0.0,True,0.427914,0.661891
tb_label_bin_30d,2608,349,0.0,True,0.466258,0.719198
tb_label_down,2608,349,1e-06,True,0.423696,0.269341
hyg_ret_20d,2588,351,1e-06,True,0.002446,0.00527
tip_ret_20d,2588,351,3e-06,True,0.000964,0.004214
macro_score,2608,351,4e-06,True,-0.103429,0.229856
silver_dist_high_20d,2589,351,3.9e-05,True,-0.045693,-0.05442
tip_above_ma50,2608,351,4.2e-05,True,0.601227,0.732194
tip_zscore_20d,2589,351,0.000173,True,0.181138,0.551104
copper_ret_1d,2607,351,0.000271,True,9.6e-05,0.001648
silver_macd_cross,2608,351,0.000338,True,0.047163,0.282051
oil_ret_20d,2588,351,0.000357,True,0.004936,0.025376
hyg_ret_5d,2603,351,0.000402,True,0.000607,0.001363
tip_ret_5d,2603,351,0.000413,True,0.00023,0.001182
eurusd_ret_10d,2598,351,0.000576,True,-0.000714,0.0035
us10y_chg_20d,2588,351,0.003258,True,0.013587,-0.003883
dxy_ret_10d,2598,351,0.00475,True,0.001101,-0.002649
dxy_ret_5d,2603,351,0.006967,True,0.000544,-0.001355
silver_vol_ratio_5_20,2588,351,0.009521,True,0.927808,0.965857
rinf_zscore_20d,2585,351,0.017778,False,0.038643,0.213689
eurusd_ret_5d,2603,351,0.019162,False,-0.000341,0.001774
dxy_ret_1d,2607,351,0.213357,False,0.000109,-0.000271
oil_ret_5d,2603,351,0.234116,False,0.000213,0.00644
vix_zscore_20d,2589,351,0.236811,False,-0.033591,0.021141
sp500_ret_1d,2607,351,0.293916,False,0.00043,0.000714
vix_ret_10d,2598,351,0.300355,False,0.024921,0.025439
us10y_chg_5d,2603,351,0.331762,False,0.003759,-0.002627
sp500_ret_20d,2588,351,0.336182,False,0.008442,0.011279
eurusd_ret_1d,2607,351,0.339875,False,-6.9e-05,0.000365
oil_ret_1d,2607,351,0.343323,False,-0.001093,0.001421
oil_ret_10d,2598,351,0.386113,False,0.001875,0.013986
sp500_ret_5d,2603,351,0.556643,False,0.002102,0.00328
vix_ret_5d,2603,351,0.563075,False,0.014428,0.015772
sp500_ret_10d,2598,351,0.637466,False,0.00419,0.006255
vix_ret_1d,2607,351,0.917361,False,0.003361,0.00352
dxy_volume,2608,351,0.975976,False,8930.214724,0.0
cot_extreme_bull,2600,351,1.0,False,0.223462,0.22792
