variant,split,n_trades_v22,n_trades_sequential,n_dropped_overlapping,v22_sum_returns,honest_total_return,unit_$1_pertrade,honest_cagr,honest_max_dd,honest_sharpe_ann,honest_calmar,true_bnh,vs_true_bnh
v22_base,valid,34,13,21,-0.5538,-0.2774,-0.5538,-0.2802,-0.3075,-1.96,-0.911,-0.0004,-0.277
v22_base,test,34,13,21,0.7548,-0.0359,0.7548,-0.036,-0.1932,-0.014,-0.186,0.2133,-0.2492
v22_base,forward,45,17,28,2.3913,1.7529,2.3913,1.1111,-0.227,1.736,4.895,1.8739,-0.121
v22_atr,valid,34,15,19,-0.1513,-0.0872,-0.1513,-0.0881,-0.167,-0.329,-0.528,-0.0004,-0.0868
v22_atr,test,34,14,20,-0.0059,0.1221,-0.0059,0.1222,-0.2085,0.557,0.586,0.2133,-0.0912
v22_atr,forward,45,13,32,1.0501,1.2667,1.0501,0.8291,-0.0987,2.86,8.396,1.8739,-0.6072
v22_kelly,valid,34,15,19,-0.1513,-0.0872,-0.1513,-0.0881,-0.167,-0.329,-0.528,-0.0004,-0.0868
v22_kelly,test,34,14,20,-0.0059,0.1221,-0.0059,0.1222,-0.2085,0.557,0.586,0.2133,-0.0912
v22_kelly,forward,45,13,32,1.0501,1.2667,1.0501,0.8291,-0.0987,2.86,8.396,1.8739,-0.6072
v22_mh,valid,37,15,22,-0.2219,-0.2437,-0.2219,-0.2462,-0.2507,-1.492,-0.982,-0.0004,-0.2434
v22_mh,test,36,16,20,-0.3222,-0.0598,-0.3222,-0.0599,-0.2083,-0.052,-0.287,0.2133,-0.2731
v22_mh,forward,47,14,33,1.5134,0.32,1.5134,0.2273,-0.2166,0.881,1.049,1.8739,-1.5539
v22_wf,valid,34,15,19,-0.1513,-0.0872,-0.1513,-0.0881,-0.167,-0.329,-0.528,-0.0004,-0.0868
v22_wf,test,35,13,22,0.1616,-0.0016,0.1616,-0.0016,-0.1293,0.107,-0.013,0.2133,-0.2149
v22_wf,forward,46,13,33,1.506,1.1382,1.506,0.752,-0.0973,2.332,7.732,1.8739,-0.7357
v22_all,valid,37,15,22,-0.2219,-0.2437,-0.2219,-0.2462,-0.2507,-1.492,-0.982,-0.0004,-0.2434
v22_all,test,37,15,22,-0.0967,-0.0127,-0.0967,-0.0127,-0.2175,0.077,-0.058,0.2133,-0.226
v22_all,forward,53,15,38,2.115,1.446,2.115,0.9348,-0.0669,2.757,13.967,1.8739,-0.4278
