ts_signal,signal,p_signal,ticker,figi,price,free_rub_before,direction,lots,executed,order_id,error
2025-01-02,BUY,0.6696898042387737,SLVRUBF,FSLVRUB00000,199.64,1099950.1,ORDER_DIRECTION_BUY,1,True,1997d434-d41e-4c79-88e3-3e529250c5ab,
2025-01-14,BUY,0.6696898042387737,SLVRUBF,FSLVRUB00000,199.64,1099940.12,ORDER_DIRECTION_BUY,1,True,be3cd1b7-198c-4aa4-96fd-efdf2f5e41e1,
2025-01-24,BUY,0.4974378471640104,SLVRUBF,FSLVRUB00000,199.64,1099930.14,ORDER_DIRECTION_BUY,1,True,eff92956-4a2e-49b9-83b9-47a72a7fbe07,
2025-01-24,BUY,0.4974378471640104,SLVRUBF,FSLVRUB00000,199.62,100000.0,ORDER_DIRECTION_BUY,5,True,8887a1d9-b1de-457e-b535-7507e1daaa43,
2025-02-05,BUY,0.7990296436404276,SLVRUBF,FSLVRUB00000,199.64,1099920.15,ORDER_DIRECTION_BUY,2,True,c36d565e-65a1-46f5-8490-95c25a509753,
2025-02-17,BUY,0.7007977208966673,SLVRUBF,FSLVRUB00000,199.64,1099900.19,ORDER_DIRECTION_BUY,1,True,ee287856-ca3d-45ca-9222-86e20ca7851c,
2025-03-03,BUY,0.7678954050599107,SLVRUBF,FSLVRUB00000,199.64,1099890.21,ORDER_DIRECTION_BUY,2,True,5eab22ae-6900-4323-8c77-da6bda3b9417,
2025-03-13,BUY,0.7007977208966673,SLVRUBF,FSLVRUB00000,199.64,1099870.24,ORDER_DIRECTION_BUY,1,True,6700d25c-d3dd-40ea-ad47-15ed5b95fcb3,
2025-03-25,BUY,0.7509425263105994,SLVRUBF,FSLVRUB00000,199.64,1099860.26,ORDER_DIRECTION_BUY,2,True,f216f3d9-320b-421e-8d5d-87b095a36193,
2025-04-04,BUY,0.6696898042387737,SLVRUBF,FSLVRUB00000,199.64,1099840.3,ORDER_DIRECTION_BUY,1,True,8653a205-ce7e-4383-8fae-23be1709b66f,
2025-04-11,SHORT,0.4364378417317542,SLVRUBF,FSLVRUB00000,199.64,1099830.32,ORDER_DIRECTION_SELL,1,True,fd3aa490-ed54-4058-ba2d-9f0c92b4b99e,
2025-04-17,BUY,0.4706509116676675,SLVRUBF,FSLVRUB00000,199.64,1099820.33,ORDER_DIRECTION_BUY,1,True,23902237-ac42-4d4a-9324-a0edbf51d0e5,
2025-04-30,BUY,0.4706509116676675,SLVRUBF,FSLVRUB00000,199.64,1099810.35,ORDER_DIRECTION_BUY,1,True,30c1d9f6-1b03-44ba-a75f-7d7d097dee13,
2025-05-19,BUY,0.5410117171872385,SLVRUBF,FSLVRUB00000,199.64,1099800.37,ORDER_DIRECTION_BUY,1,True,c0f06342-2ddf-46c5-a6af-9f805655ddf8,
2025-05-29,BUY,0.600302260563366,SLVRUBF,FSLVRUB00000,199.64,1099790.39,ORDER_DIRECTION_BUY,1,True,14493438-887c-40a4-97c0-5b068e7a7b22,
2025-06-10,BUY,0.65938238760313,SLVRUBF,FSLVRUB00000,199.64,1099780.41,ORDER_DIRECTION_BUY,1,True,93683f15-2c10-4e00-8daa-916073ed3e3c,
2025-06-20,BUY,0.734371761656791,SLVRUBF,FSLVRUB00000,199.64,1099770.42,ORDER_DIRECTION_BUY,1,True,acf16a0f-fe7b-41cc-960b-8d2a60462563,
2025-07-02,BUY,0.6428116229493216,SLVRUBF,FSLVRUB00000,199.64,1099760.44,ORDER_DIRECTION_BUY,1,True,5d98d32c-d547-4a40-92eb-5b404dfa1b51,
2025-07-14,BUY,0.7509425263105994,SLVRUBF,FSLVRUB00000,199.64,1099750.46,ORDER_DIRECTION_BUY,2,True,2ddf3724-f78b-4ccd-a536-cec4247fb0a8,
2025-07-24,BUY,0.65938238760313,SLVRUBF,FSLVRUB00000,199.64,1099730.5,ORDER_DIRECTION_BUY,1,True,f4f267ab-b054-49f9-afdc-dc916e93a70a,
