direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22
LONG,2025-02-06,2025-02-12,2856.0,2909.0,2945.4,0.018557,0.014682328383813602,4,model_exit,0.0038746716161863985,False,0.018057
LONG,2025-03-03,2025-03-24,2890.2,3013.1,3050.9,0.042523,0.036866610435423414,15,model_exit,0.0056563895645765855,True,0.042023
LONG,2025-03-28,2025-04-23,3086.5,3276.3,3485.6,0.061494,0.05659973553719402,17,model_exit,0.004894264462805985,False,0.060994
LONG,2025-04-25,2025-05-15,3282.4,3156.428,3430.9,-0.038378,-0.046739821797778525,14,trail_stop,0.008361821797778522,True,-0.038878
LONG,2025-08-01,2025-09-10,3347.7,3643.6,3670.4,0.088389,0.08469200494210818,27,model_exit,0.003696995057891816,False,0.087889
LONG,2025-10-03,2025-10-07,3880.8,3976.6,3981.5,0.024686,0.02079506759094433,2,model_exit,0.003890932409055671,False,0.024186
LONG,2025-10-27,2025-12-09,4001.9,4206.7,4262.1,0.051176,0.04375653022657948,30,max_hold,0.0074194697734205235,True,0.050676
LONG,2025-12-29,2026-01-20,4325.1,4759.6,4764.0,0.10046,0.09600651517494778,14,model_exit,0.0044534848250522095,False,0.09996
LONG,2026-02-02,2026-02-06,4622.5,4675.624,5082.2,0.011493,-0.0005608649952825,4,trail_stop,0.0120538649952825,False,0.010993
LONG,2026-02-25,2026-03-18,5206.4,4889.9,5405.0,-0.060791,-0.06663981805271649,15,trail_stop,0.0058488180527164904,False,-0.061291
