p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,score,n_positive,median_return,mean_return,worst_year,best_year,no_trade_years
0.48,0.35,25,0.12,30,0.2476,6,0.0434,0.0388,-0.1412,0.1643,0
0.48,0.35,25,0.12,45,0.1983,5,0.0938,0.0744,-0.1366,0.2396,0
0.48,0.35,15,0.12,45,0.1807,5,0.0192,0.0405,-0.1345,0.1827,0
0.48,0.35,20,0.12,45,0.1786,5,0.0263,0.032,-0.1585,0.1755,0
0.48,0.3,20,0.1,30,0.1762,5,0.0046,0.0119,-0.1411,0.135,0
0.48,0.35,15,0.12,30,0.1591,4,0.0015,0.0103,-0.0908,0.1185,0
0.48,0.3,20,0.12,30,0.1551,4,-0.0072,0.0189,-0.0976,0.135,0
0.62,0.35,25,0.12,30,0.128,4,0.0197,0.0114,-0.1136,0.1218,0
0.62,0.4,10,0.12,45,0.1278,4,0.0428,0.0352,-0.1493,0.277,0
0.62,0.4,15,0.12,45,0.1271,4,0.052,0.0351,-0.1675,0.2734,0
0.48,0.35,20,0.12,30,0.1266,4,0.0061,0.0098,-0.1015,0.135,0
0.62,0.4,20,0.12,30,0.125,4,0.0243,0.0125,-0.1394,0.109,0
0.62,0.3,10,0.12,30,0.1239,4,0.0197,0.0114,-0.1388,0.1863,0
0.62,0.3,15,0.12,30,0.1239,4,0.0197,0.0114,-0.1388,0.1863,0
0.62,0.3,20,0.12,30,0.1239,4,0.0197,0.0113,-0.1388,0.185,0
0.62,0.3,25,0.12,30,0.1239,4,0.0197,0.0091,-0.1388,0.1676,0
0.62,0.35,25,0.1,30,0.1232,4,0.0197,0.0046,-0.1433,0.1218,0
0.52,0.35,10,0.12,45,0.1217,4,0.0098,0.0016,-0.1378,0.142,0
0.48,0.35,10,0.12,45,0.1214,4,0.0004,0.0182,-0.1255,0.1755,0
0.62,0.4,10,0.1,45,0.1209,4,0.0428,0.0341,-0.1926,0.277,0
0.55,0.35,10,0.12,45,0.1207,4,0.0098,0.0131,-0.1441,0.2157,0
0.58,0.3,10,0.12,30,0.1202,4,0.0148,-0.0039,-0.155,0.1308,0
0.58,0.3,15,0.12,30,0.1202,4,0.0148,-0.0039,-0.155,0.1308,0
0.58,0.3,20,0.12,30,0.1202,4,0.0148,0.0028,-0.155,0.185,0
0.58,0.3,25,0.12,30,0.1202,4,0.0148,0.0007,-0.155,0.1676,0
0.62,0.35,25,0.1,45,0.1201,4,0.0238,0.0295,-0.1688,0.2826,0
0.62,0.35,20,0.12,30,0.1196,4,0.0197,0.0032,-0.1661,0.1385,0
0.62,0.4,25,0.1,45,0.1192,4,0.0037,-0.0083,-0.1444,0.1577,0
0.62,0.35,20,0.12,45,0.1191,4,0.0238,0.0302,-0.175,0.3109,0
0.62,0.35,25,0.12,45,0.1191,4,0.0238,0.037,-0.175,0.2826,0
