direction,entry_date,exit_date,entry_price,exit_price,peak_price,gross_return,net_return,hold_days,exit_reason,realistic_cost,is_illiquid,net_return_v22,wf_year
LONG,2018-01-08,2018-02-09,17.064,16.116,17.551,-0.055556,-0.05885910525826866,24,trail_stop,0.0033031052582686597,False,-0.056056,2018
LONG,2018-04-20,2018-06-01,17.147,16.388,17.147,-0.044264,-0.0473847656619476,30,max_hold,0.003120765661947608,False,-0.044764,2018
LONG,2019-01-16,2019-01-29,15.564,15.786,15.786,0.014264,0.011648031305370834,9,model_exit,0.0026159686946291665,False,0.013764,2019
LONG,2019-02-07,2019-02-27,15.675,15.672,16.157,-0.000191,-0.0051145094438343666,14,model_exit,0.004923509443834366,True,-0.000691,2019
LONG,2019-03-04,2019-03-08,15.017,15.272,15.272,0.016981,0.013155891181700565,4,model_exit,0.003825108818299434,False,0.016481,2019
LONG,2019-03-28,2019-04-08,14.921,15.173,15.173,0.016889,0.013830466264462039,7,model_exit,0.0030585337355379626,False,0.016389,2019
LONG,2019-04-19,2019-05-27,14.937,14.52,15.035,-0.027917,-0.032491860609480214,26,model_exit,0.0045748606094802155,True,-0.028417,2019
LONG,2019-05-28,2019-06-05,14.281,14.754,15.0,0.033121,0.030011542228386617,6,model_exit,0.003109457771613382,False,0.032621,2019
LONG,2019-06-19,2019-06-24,14.945,15.368,15.469,0.028304,0.02314583278713526,3,model_exit,0.005158167212864737,True,0.027804,2019
LONG,2019-07-22,2019-07-31,16.34,16.346,16.554,0.000367,-0.0034557954803321163,7,model_exit,0.0038227954803321165,False,-0.000133,2019
LONG,2019-09-03,2019-09-06,19.079,17.968,19.54,-0.058232,-0.06458379470271823,3,trail_stop,0.0063517947027182334,False,-0.058732,2019
LONG,2019-09-25,2019-11-06,17.962,17.558,18.03,-0.022492,-0.028845895010750817,30,max_hold,0.006353895010750814,True,-0.022992,2019
LONG,2020-01-01,2020-01-14,17.828,17.674,18.505,-0.008638,-0.012226890804958448,9,model_exit,0.003588890804958447,False,-0.009138,2020
LONG,2020-01-23,2020-01-28,17.773,17.402,18.057,-0.020874,-0.02413168867758878,3,model_exit,0.0032576886775887775,False,-0.021374,2020
LONG,2020-02-18,2020-02-26,18.131,17.826,18.868,-0.016822,-0.02252154119595113,6,model_exit,0.005699541195951131,True,-0.017322,2020
LONG,2020-04-14,2020-04-15,16.072,15.447,16.072,-0.038888,-0.04957579896921794,1,model_exit,0.01068779896921794,True,-0.039388,2020
LONG,2020-05-08,2020-06-19,15.74,17.832,18.815,0.13291,0.12730381273496713,30,max_hold,0.005606187265032857,False,0.13241,2020
LONG,2020-09-04,2020-09-07,26.576,26.576,26.95,0.0,-0.008306773965877989,1,model_exit,0.008306773965877989,False,-0.0005,2020
LONG,2020-11-05,2020-11-06,25.171,25.646,25.91,0.018871,0.012902629171316099,1,model_exit,0.0059683708286839,False,0.018371,2020
LONG,2020-12-16,2020-12-31,24.985,26.332,26.99,0.053912,0.04851278519410105,11,max_hold,0.0053992148058989485,False,0.053412,2020
LONG,2021-01-01,2021-01-08,26.332,24.582,27.571,-0.066459,-0.07258781882380318,5,trail_stop,0.006128818823803167,False,-0.066959,2021
LONG,2021-01-26,2021-01-27,25.529,25.376,25.529,-0.005993,-0.010166314899017752,1,model_exit,0.004173314899017752,False,-0.006493,2021
LONG,2021-04-05,2021-04-06,24.763,25.212,25.215,0.018132,0.010933171790432041,1,model_exit,0.007198828209567957,True,0.017632,2021
LONG,2021-04-27,2021-04-30,26.412,25.853,26.545,-0.021165,-0.0270964601452188,3,model_exit,0.005931460145218801,True,-0.021665,2021
LONG,2021-05-19,2021-06-17,28.008,25.844,28.58,-0.077264,-0.08475377308633879,21,trail_stop,0.007489773086338794,True,-0.077764,2021
LONG,2021-06-29,2021-07-14,25.872,26.246,26.87,0.014456,0.010365530768007603,11,model_exit,0.004090469231992397,False,0.013956,2021
LONG,2021-07-21,2021-08-09,25.238,23.255,25.97,-0.078572,-0.08375828757847303,13,trail_stop,0.005186287578473036,False,-0.079072,2021
LONG,2021-08-31,2021-09-01,23.96,24.177,24.255,0.009057,0.00499789706679112,1,model_exit,0.004059102933208881,False,0.008557,2021
LONG,2021-09-29,2021-10-13,21.459,23.149,23.149,0.078755,0.07301234675885682,10,model_exit,0.005742653241143196,False,0.078255,2021
LONG,2021-10-21,2021-11-02,24.15,23.5,24.575,-0.026915,-0.031140440428752303,8,model_exit,0.004225440428752302,False,-0.027415,2021
LONG,2021-11-12,2021-11-24,25.344,23.496,25.344,-0.072917,-0.07741940533784253,8,model_exit,0.004502405337842532,False,-0.073417,2021
LONG,2021-12-06,2021-12-09,22.228,21.974,22.56,-0.011427,-0.016377414440775544,3,model_exit,0.004950414440775545,False,-0.011927,2021
LONG,2021-12-28,2021-12-29,23.111,22.848,23.111,-0.01138,-0.015664698313192317,1,model_exit,0.004284698313192316,False,-0.01188,2021
LONG,2022-01-06,2022-01-10,22.174,22.446,22.49,0.012267,0.007171720283542004,2,model_exit,0.0050952797164579965,False,0.011767,2022
LONG,2022-02-10,2022-02-15,23.519,23.338,23.915,-0.007696,-0.012032534459833759,3,model_exit,0.00433653445983376,False,-0.008196,2022
LONG,2022-03-04,2022-03-15,25.782,25.123,27.31,-0.02556,-0.031606380766669044,7,trail_stop,0.006046380766669043,False,-0.02606,2022
LONG,2022-04-07,2022-04-08,24.733,24.819,24.925,0.003477,-0.0009247222540619358,1,model_exit,0.004401722254061936,False,0.002977,2022
LONG,2022-05-12,2022-05-18,20.757,21.533,21.737,0.037385,0.030719983834111304,4,model_exit,0.006665016165888698,False,0.036885,2022
LONG,2022-06-09,2022-06-15,21.797,21.402,21.92,-0.018122,-0.024813032642901196,4,model_exit,0.006691032642901199,True,-0.018622,2022
LONG,2022-07-01,2022-07-14,19.597,18.169,20.185,-0.072868,-0.07931015111571929,9,trail_stop,0.006442151115719295,False,-0.073368,2022
LONG,2022-07-26,2022-07-28,18.487,19.827,19.94,0.072483,0.06655454731358125,2,model_exit,0.005928452686418751,False,0.071983,2022
LONG,2022-08-17,2022-08-18,19.711,19.448,19.725,-0.013343,-0.020494549151823332,1,model_exit,0.00715154915182333,True,-0.013843,2022
LONG,2022-09-13,2022-09-21,19.39,19.411,19.585,0.001083,-0.007112749368328178,6,model_exit,0.008195749368328177,True,0.000583,2022
LONG,2022-10-05,2022-10-10,20.479,19.556,20.725,-0.045071,-0.05247511918221909,3,model_exit,0.007404119182219086,False,-0.045571,2022
LONG,2022-11-02,2022-11-03,19.6,19.436,19.6,-0.008367,-0.01608820343272387,1,model_exit,0.00772120343272387,True,-0.008867,2022
LONG,2022-11-28,2022-12-30,20.91,23.862,24.17,0.141176,0.13595688515244225,24,max_hold,0.005219114847557733,False,0.140676,2022
LONG,2023-01-04,2023-02-03,23.792,22.334,24.46,-0.061281,-0.0671673359215393,22,trail_stop,0.005886335921539294,False,-0.061781,2023
LONG,2023-03-06,2023-03-09,20.984,20.025,20.985,-0.045701,-0.05018554933060283,3,model_exit,0.004484549330602836,False,-0.046201,2023
LONG,2023-03-28,2023-03-31,23.324,24.076,24.165,0.032242,0.027763602403683738,3,model_exit,0.0044783975963162605,False,0.031742,2023
LONG,2023-04-19,2023-04-24,25.366,25.306,25.368,-0.002365,-0.006729511001632464,3,model_exit,0.004364511001632464,False,-0.002865,2023
LONG,2023-05-15,2023-05-16,24.127,23.737,24.127,-0.016165,-0.021847317382811184,1,model_exit,0.005682317382811185,False,-0.016665,2023
LONG,2023-07-12,2023-08-02,24.119,23.754,25.28,-0.015133,-0.019982850162000566,15,model_exit,0.004849850162000565,False,-0.015633,2023
LONG,2023-08-16,2023-08-18,22.48,22.695,22.955,0.009564,0.0040230635654424154,2,model_exit,0.005540936434557584,True,0.009064,2023
LONG,2023-09-18,2023-09-19,23.232,23.194,23.232,-0.001636,-0.007600287483494618,1,model_exit,0.005964287483494618,True,-0.002136,2023
LONG,2023-10-27,2023-11-08,22.77,22.647,23.565,-0.005402,-0.009560843591991858,8,model_exit,0.004158843591991859,False,-0.005902,2023
LONG,2023-11-20,2023-12-07,23.579,23.732,25.935,0.006489,-0.0006122965026266851,13,trail_stop,0.007101296502626685,True,0.005989,2023
LONG,2024-01-01,2024-01-05,23.853,23.122,24.07,-0.030646,-0.035318710323997665,4,model_exit,0.004672710323997665,False,-0.031146,2024
LONG,2024-01-23,2024-01-29,22.334,23.138,23.205,0.035999,0.03166137396223982,4,model_exit,0.004337626037760179,False,0.035499,2024
LONG,2024-02-14,2024-02-16,22.331,23.439,23.439,0.049617,0.043319808441327066,2,model_exit,0.006297191558672937,True,0.049117,2024
LONG,2024-03-07,2024-04-04,24.37,27.14,27.27,0.113664,0.10866141715573092,20,model_exit,0.00500258284426908,False,0.113164,2024
LONG,2024-04-17,2024-04-22,28.346,27.213,28.808,-0.03997,-0.04775373335255538,3,model_exit,0.007783733352555378,True,-0.04047,2024
LONG,2024-05-10,2024-05-15,28.275,29.514,29.514,0.04382,0.038685995928644065,3,model_exit,0.005134004071355929,False,0.04332,2024
LONG,2024-06-04,2024-06-13,29.488,28.99,31.525,-0.016888,-0.02458132303719262,7,trail_stop,0.00769332303719262,False,-0.017388,2024
LONG,2024-06-26,2024-06-28,28.909,29.237,29.58,0.011346,0.005505787883845148,2,model_exit,0.005840212116154852,False,0.010846,2024
LONG,2024-07-22,2024-08-07,29.124,26.801,29.132,-0.079747,-0.08782253430043024,12,trail_stop,0.008075534300430244,True,-0.080247,2024
LONG,2024-10-23,2024-10-24,33.64,33.611,34.14,-0.000862,-0.009131954242550304,1,model_exit,0.008269954242550304,True,-0.001362,2024
LONG,2024-11-15,2024-12-03,30.371,31.077,31.475,0.023246,0.015925019823470422,12,model_exit,0.007320980176529575,True,0.022746,2024
LONG,2024-12-09,2024-12-12,32.216,31.228,32.77,-0.030668,-0.03625070230970015,3,model_exit,0.005582702309700148,False,-0.031168,2024
LONG,2024-12-31,2024-12-31,28.94,28.94,28.94,0.0,-0.00448490269372874,0,max_hold,0.00448490269372874,False,-0.0005,2024
LONG,2025-01-02,2025-01-10,29.622,31.091,31.535,0.049592,0.045017399933101,6,model_exit,0.004574600066898996,False,0.049092,2025
LONG,2025-01-24,2025-02-28,31.023,31.219,34.08,0.006318,0.0012791228074629036,25,trail_stop,0.005038877192537096,False,0.005818,2025
LONG,2025-05-19,2025-06-30,32.313,35.852,37.255,0.109523,0.1047133354459256,30,max_hold,0.004809664554074385,False,0.109023,2025
LONG,2025-12-08,2025-12-09,57.779,60.169,60.52,0.041364,0.03411019767238737,1,model_exit,0.00725380232761263,False,0.040864,2025
LONG,2025-12-31,2025-12-31,70.134,70.134,70.134,0.0,-0.01452644278300658,0,max_hold,0.01452644278300658,False,-0.0005,2025
