feature,importance
gold_silver_ratio,0.08471575594217107
oil_ret_5d,0.02817017887772607
cot_index_52w,0.019391693212447925
tip_zscore_20d,0.010162950257289893
silver_dist_ma20,0.00794841950502334
macro_score,0.007874908110757172
silver_ret_10d,0.007776892918402311
sp500_ret_1d,0.007032590051457977
cot_change_4w,0.005841092869394726
silver_dist_ma60,0.005354079882381768
gold_ret_3d,0.0049742710120068475
us10y_yf,0.004781303602058318
net_comm,0.004729233031119828
oil_ret_10d,0.00273523646165158
net_spec_norm,0.0022175937270276893
tip_ret_5d,0.0021777750551335907
gold_zscore_20d,0.002165523156089211
dxy_ret_20d,0.0021563342318059453
silver_rsi_14,0.0018316589071305845
net_spec,0.0015958098505268747
silver_macd_hist,0.001206812055868678
gold_rsi_14,0.0011394266111247387
silver_dist_high_20d,0.0010996079392305957
rinf_ret_5d,0.0010169076206812178
silver_dist_high_60d,0.0010046557216368713
eurusd_ret_5d,0.0007596177407498183
cot_change_norm,0.0001194560156824176
gold_ret_1d,0.0001163930409213365
vix_level,0.00010107816711591999
dxy_zscore_20d,7.65743690271492e-05
gold_silver_ratio_z60,7.044841950504255e-05
us10y_chg_20d,6.432246998284707e-05
silver_macd_cross,0.0
yield_curve_10y3m,0.0
cot_extreme_bull,0.0
cot_extreme_bear,0.0
hyg_above_ma50,0.0
us3m_yf,0.0
silver_zscore_20d,-4.288164665524619e-05
dxy_ret_10d,-0.00016540063709877817
tip_above_ma50,-0.0005819652046067048
silver_ret_2d,-0.0006891693212448202
gold_ret_2d,-0.000833129135015942
vix_ret_10d,-0.0010751041411419028
oil_ret_1d,-0.00111798578779706
silver_ret_3d,-0.0018776035285469118
silver_ma20_slope_5d,-0.0022084048027444236
silver_vol_ratio_5_20,-0.0022420975251163933
tip_ret_20d,-0.0024044351874540127
hyg_ret_5d,-0.0024044351874540682
gold_ret_5d,-0.0025514579759863044
us10y_chg_5d,-0.00274748836069586
silver_realized_vol_20d,-0.0036449399656946603
gold_silver_ratio_z20,-0.0036786326880666963
silver_atr_14,-0.003798088703749103
copper_ret_1d,-0.0038685371232540676
eurusd_ret_1d,-0.004141141876990895
vix_ret_5d,-0.0048762558196520315
open_interest,-0.005109041901494749
silver_ret_5d,-0.005188679245283057
rinf_zscore_20d,-0.005387772604753693
vix_zscore_20d,-0.0054827248223474736
copper_ret_5d,-0.005779833374172971
dxy_ret_1d,-0.0058410928693948035
sp500_ret_20d,-0.006891693212447913
gold_ret_20d,-0.006971330556236199
silver_zscore_60d,-0.007452217593726995
sp500_ret_5d,-0.007452217593727028
dxy_ret_5d,-0.007510414114187613
rinf_ret_20d,-0.0075900514579759545
vix_ret_1d,-0.00762374418034798
copper_ret_20d,-0.00905109041901494
silver_ret_1d,-0.009130727762803248
silver_ret_20d,-0.009829086008331345
silver_vol_percentile_252d,-0.010490688556726312
copper_ret_10d,-0.011820019603038434
hyg_ret_20d,-0.01222433227150207
oil_ret_20d,-0.02466613575104143
silver_realized_vol_60d,-0.030779833374172984
silver_vol_ratio_20_60,-0.06557216368537122
