Date,p_up_cpcv
2013-01-02,
2013-01-03,
2013-01-04,
2013-01-07,
2013-01-08,
2013-01-09,
2013-01-10,
2013-01-11,
2013-01-14,
2013-01-15,
2013-01-16,
2013-01-17,
2013-01-18,
2013-01-21,
2013-01-22,
2013-01-23,
2013-01-24,
2013-01-25,
2013-01-28,
2013-01-29,
2013-01-30,
2013-01-31,
2013-02-01,
2013-02-04,
2013-02-05,
2013-02-06,
2013-02-07,
2013-02-08,
2013-02-11,
2013-02-12,
2013-02-13,
2013-02-14,
2013-02-15,
2013-02-18,
2013-02-19,
2013-02-20,
2013-02-21,
2013-02-22,
2013-02-25,
2013-02-26,
2013-02-27,
2013-02-28,
2013-03-01,
2013-03-04,
2013-03-05,
2013-03-06,
2013-03-07,
2013-03-08,
2013-03-11,
2013-03-12,
2013-03-13,
2013-03-14,
2013-03-15,
2013-03-18,
2013-03-19,
2013-03-20,
2013-03-21,
2013-03-22,
2013-03-25,
2013-03-26,
2013-03-27,
2013-03-28,
2013-03-29,
2013-04-01,
2013-04-02,
2013-04-03,
2013-04-04,
2013-04-05,
2013-04-08,
2013-04-09,
2013-04-10,
2013-04-11,
2013-04-12,
2013-04-15,
2013-04-16,
2013-04-17,
2013-04-18,
2013-04-19,
2013-04-22,
2013-04-23,
2013-04-24,
2013-04-25,
2013-04-26,
2013-04-29,
2013-04-30,
2013-05-01,
2013-05-02,
2013-05-03,
2013-05-06,
2013-05-07,
2013-05-08,
2013-05-09,
2013-05-10,
2013-05-13,
2013-05-14,
2013-05-15,
2013-05-16,
2013-05-17,
2013-05-20,
2013-05-21,
2013-05-22,
2013-05-23,
2013-05-24,
2013-05-27,
2013-05-28,
2013-05-29,
2013-05-30,
2013-05-31,
2013-06-03,
2013-06-04,
2013-06-05,
2013-06-06,
2013-06-07,
2013-06-10,
2013-06-11,
2013-06-12,
2013-06-13,
2013-06-14,
2013-06-17,
2013-06-18,
2013-06-19,
2013-06-20,
2013-06-21,
2013-06-24,
2013-06-25,
2013-06-26,
2013-06-27,
2013-06-28,
2013-07-01,
2013-07-02,
2013-07-03,
2013-07-04,
2013-07-05,
2013-07-08,0.47406789292615914
2013-07-09,0.486436671363192
2013-07-10,0.5080723140410213
2013-07-11,0.486776593740651
2013-07-12,0.4833294864408043
2013-07-15,0.4833294864408043
2013-07-16,0.4833294864408043
2013-07-17,0.48170311388818965
2013-07-18,0.471029876248816
2013-07-19,0.458661097811783
2013-07-22,0.4501601325739951
2013-07-23,0.48170311388818965
2013-07-24,0.45451774469414
2013-07-25,0.4501601325739951
2013-07-26,0.48170311388818965
2013-07-29,0.471029876248816
2013-07-30,0.4557211937055044
2013-07-31,0.458661097811783
2013-08-01,0.47104747568962235
2013-08-02,0.43348400572725526
2013-08-05,0.45001839975665775
2013-08-06,0.3791917825455647
2013-08-07,0.3782810242361428
2013-08-08,0.3619499532527947
2013-08-09,0.6026704695512832
2013-08-12,0.5472141972915462
2013-08-13,0.5274306483153801
2013-08-14,0.5678430908707811
2013-08-15,0.5526147516716826
2013-08-16,0.5716720763348616
2013-08-19,0.5495643267956621
2013-08-20,0.5447394139903909
2013-08-21,0.5402404053686286
2013-08-22,0.5760968473104306
2013-08-23,0.6017730934676976
2013-08-26,0.5879549600872821
2013-08-27,0.5678430524780482
2013-08-28,0.535547962158369
2013-08-29,0.590965568972761
2013-08-30,0.5769609581924166
2013-09-02,0.5781491436195862
2013-09-03,0.6056945396867418
2013-09-04,0.5821960672321108
2013-09-05,0.6022483626526863
2013-09-06,0.5826017743722536
2013-09-09,0.5656586802941993
2013-09-10,0.610582680790901
2013-09-11,0.6425086077405356
2013-09-12,0.7091017437541213
2013-09-13,0.49262196674981135
2013-09-16,0.5049907451868443
2013-09-17,0.4708026335713356
2013-09-18,0.49262196674981135
2013-09-19,0.6257949358088171
2013-09-20,0.4924382762491648
2013-09-23,0.4924382762491648
2013-09-24,0.5048070546861977
2013-09-25,0.48949837214288616
2013-09-26,0.47731069552234306
2013-09-27,0.3994186196419357
2013-09-30,0.3811453644087965
2013-10-01,0.4677067654753982
2013-10-02,0.3962803845706765
2013-10-03,0.39473168969033723
2013-10-04,0.4326226485289367
2013-10-07,0.39521667507377906
2013-10-08,0.6089326854398398
2013-10-09,0.4524426977133465
2013-10-10,0.565324915042744
2013-10-11,0.4896429831760128
2013-10-14,0.4409126837167136
2013-10-15,0.47445541929971424
2013-10-16,0.48949837214288616
2013-10-17,0.4572454455707281
2013-10-18,0.708262217529138
2013-10-21,0.5675499953725979
2013-10-22,0.5423779914075474
2013-10-23,0.5800411687953513
2013-10-24,0.5560684423986105
2013-10-25,0.5879772925853809
2013-10-28,0.5056754660768281
2013-10-29,0.5516967913352424
2013-10-30,0.539564892656591
2013-10-31,0.46359116096088837
2013-11-01,0.47163803102471
2013-11-04,0.47003628572013445
2013-11-05,0.45655890322994086
2013-11-06,0.47175394291758704
2013-11-07,0.4567947866443839
2013-11-08,0.48888781641419526
2013-11-11,0.4896429831760128
2013-11-12,0.514659752209778
2013-11-13,0.5025112529095119
2013-11-14,0.4654688151173067
2013-11-15,0.4654688151173067
2013-11-18,0.48188680438883635
2013-11-19,0.4654688151173067
2013-11-20,0.508256004541668
2013-11-21,0.49799933738067403
2013-11-22,0.49799933738067403
2013-11-25,0.47104747568962235
2013-11-26,0.471029876248816
2013-11-27,0.4685094449828485
2013-11-28,0.47723408654573873
2013-11-29,0.4690996129178
2013-12-02,0.5318570674135988
2013-12-03,0.541849492478403
2013-12-04,0.5003268965554568
2013-12-05,0.49608993542482843
2013-12-06,0.5442258458506317
2013-12-09,0.5048070546861977
2013-12-10,0.5048070546861977
2013-12-11,0.5294807140413701
2013-12-12,0.5210413534570806
2013-12-13,0.4527719012684158
2013-12-16,0.453345162233294
2013-12-17,0.484915910315871
2013-12-18,0.47074355018555003
2013-12-19,0.5265408099350916
2013-12-20,0.48949837214288616
2013-12-23,0.4588527138395507
2013-12-24,0.4557211937055044
2013-12-25,0.45034382307464166
2013-12-26,0.4531000366802737
2013-12-27,0.4501601325739951
2013-12-30,0.4636297123786747
2013-12-31,0.4950594332743954
2014-01-01,0.486210888019181
2014-01-02,0.5474105536099122
2014-01-03,0.441705660703217
2014-01-06,0.44584795347563927
2014-01-07,0.4654688151173067
2014-01-08,0.4308968528787676
2014-01-09,0.44971586692653104
2014-01-10,0.6689087821759638
2014-01-13,0.583405390006002
2014-01-14,0.6305452089062704
2014-01-15,0.6324574926982188
2014-01-16,0.570591377582517
2014-01-17,0.5663725838805642
2014-01-20,0.5801316463784982
2014-01-21,0.4884441296565873
2014-01-22,0.4555853001815036
2014-01-23,0.49895955223521626
2014-01-24,0.46098349436928776
2014-01-27,0.45093440574618643
2014-01-28,0.4654688151173067
2014-01-29,0.43267997969057104
2014-01-30,0.4654861024260198
2014-01-31,0.42980881826863016
2014-02-03,0.42652133414492505
2014-02-04,0.44682564345564907
2014-02-05,0.5575094683156328
2014-02-06,0.635780380452659
2014-02-07,0.5857538748136212
2014-02-10,0.5261517901708614
2014-02-11,0.5025349416990504
2014-02-12,0.6154553219356109
2014-02-13,0.5664219813519247
2014-02-14,0.5988721213915721
2014-02-17,0.5699178061019051
2014-02-18,0.5359863434982558
2014-02-19,0.5198079904642889
2014-02-20,0.5389240717475657
2014-02-21,0.593244275040852
2014-02-24,0.5318381417482325
2014-02-25,0.48639503330396405
2014-02-26,0.5244623628495595
2014-02-27,0.5168109711605637
2014-02-28,0.5078242413508579
2014-03-03,0.5094083107767633
2014-03-04,0.5133809978451103
2014-03-05,0.5153295677218822
2014-03-06,0.5299527354455389
2014-03-07,0.5749164503720071
2014-03-10,0.5741120078837362
